# コード,銘柄名,セクター  ← この行はコメント。以下を編集して銘柄追加・削除可
7203.T,トヨタ自動車,一般消費財
6758.T,ソニーグループ,一般消費財
9984.T,ソフトバンクグループ,通信
8306.T,三菱UFJフィナンシャルG,金融
4063.T,信越化学工業,素材
6861.T,キーエンス,情報技術
9433.T,KDDI,通信
7974.T,任天堂,一般消費財
6367.T,ダイキン工業,資本財
4519.T,中外製薬,ヘルスケア
8035.T,東京エレクトロン,情報技術
6098.T,リクルートHD,情報技術
4661.T,オリエンタルランド,一般消費財
8058.T,三菱商事,資本財
6954.T,ファナック,資本財
4502.T,武田薬品工業,ヘルスケア
7267.T,本田技研工業,一般消費財
6501.T,日立製作所,資本財
9022.T,JR東海,資本財
3382.T,セブン&アイHD,生活必需品
2914.T,JT,生活必需品
9432.T,NTT,通信
6702.T,富士通,情報技術
8411.T,みずほFG,金融
4543.T,テルモ,ヘルスケア
8766.T,東京海上HD,金融
5108.T,ブリヂストン,素材
7751.T,キヤノン,資本財
4452.T,花王,生活必需品
8802.T,三菱地所,不動産
6503.T,三菱電機,資本財
4901.T,富士フイルムHD,情報技術
2802.T,味の素,生活必需品
7733.T,オリンパス,ヘルスケア
6326.T,クボタ,資本財
8031.T,三井物産,資本財
4568.T,第一三共,ヘルスケア
3659.T,ネクソン,情報技術
6301.T,コマツ,資本財
4911.T,資生堂,生活必需品
8001.T,伊藤忠商事,資本財
5401.T,日本製鉄,素材
9101.T,日本郵船,資本財
6594.T,ニデック,資本財
7741.T,HOYA,ヘルスケア
4523.T,エーザイ,ヘルスケア
6869.T,シスメックス,ヘルスケア
6857.T,アドバンテスト,情報技術
9020.T,JR東日本,資本財
6752.T,パナソニックHD,一般消費財
